timestamp,system_id,units_per_hour,machine_load_kw,motor_temperature_c,vibration_mm_s,status
2026-07-01 00:00:00,production_line_b,35.7,37.9,46.54,0.405,running
2026-07-01 00:15:00,production_line_b,38.47,36.86,45.95,1.147,running
2026-07-01 00:30:00,production_line_b,31.33,44.72,46.55,1.059,running
2026-07-01 00:45:00,production_line_b,40.01,44.08,45.82,0.721,running
2026-07-01 01:00:00,production_line_b,39.16,43.03,45.06,0.367,running
2026-07-01 01:15:00,production_line_b,33.21,47.86,45.12,1.186,running
2026-07-01 01:30:00,production_line_b,32.83,39.23,46.59,0.931,running
2026-07-01 01:45:00,production_line_b,30.93,42.27,45.32,0.721,running
2026-07-01 02:00:00,production_line_b,34.86,50.94,47.36,1.362,running
2026-07-01 02:15:00,production_line_b,33.33,39.91,44.23,1.287,running
2026-07-01 02:30:00,production_line_b,32.8,50.13,47.76,0.479,running
2026-07-01 02:45:00,production_line_b,46.12,50.51,46.53,1.332,running
2026-07-01 03:00:00,production_line_b,35.61,47.03,45.43,1.391,running
2026-07-01 03:15:00,production_line_b,45.61,43.76,46.79,1.441,running
2026-07-01 03:30:00,production_line_b,47.72,60.0,46.43,0.459,running
2026-07-01 03:45:00,production_line_b,49.23,55.08,48.16,1.189,running
2026-07-01 04:00:00,production_line_b,55.38,46.96,46.06,0.919,running
2026-07-01 04:15:00,production_line_b,43.47,51.73,47.62,1.727,running
2026-07-01 04:30:00,production_line_b,57.15,59.4,48.74,1.699,running
2026-07-01 04:45:00,production_line_b,47.96,61.91,46.72,1.418,running
2026-07-01 05:00:00,production_line_b,44.74,54.7,47.85,1.221,running
2026-07-01 05:15:00,production_line_b,47.03,67.56,47.07,2.041,running
2026-07-01 05:30:00,production_line_b,57.69,59.78,46.57,1.317,running
2026-07-01 05:45:00,production_line_b,57.85,61.69,47.32,0.676,running
2026-07-01 06:00:00,production_line_b,62.31,74.48,49.2,1.456,running
2026-07-01 06:15:00,production_line_b,71.58,66.18,47.43,1.189,running
2026-07-01 06:30:00,production_line_b,59.12,77.28,47.87,1.738,running
2026-07-01 06:45:00,production_line_b,69.03,82.68,48.34,2.006,running
2026-07-01 07:00:00,production_line_b,62.91,66.76,48.8,0.844,running
2026-07-01 07:15:00,production_line_b,73.91,89.61,51.33,0.875,running
2026-07-01 07:30:00,production_line_b,65.89,96.68,50.25,1.752,running
2026-07-01 07:45:00,production_line_b,82.34,97.99,50.74,1.201,running
2026-07-01 08:00:00,production_line_b,70.04,88.96,49.97,0.95,running
2026-07-01 08:15:00,production_line_b,86.39,88.3,50.64,1.581,running
2026-07-01 08:30:00,production_line_b,80.43,95.01,50.59,1.261,running
2026-07-01 08:45:00,production_line_b,69.79,105.54,51.26,2.627,running
2026-07-01 09:00:00,production_line_b,81.02,83.14,48.96,1.378,running
2026-07-01 09:15:00,production_line_b,88.9,83.75,48.82,2.535,running
2026-07-01 09:30:00,production_line_b,96.01,92.63,51.22,2.303,running
2026-07-01 09:45:00,production_line_b,75.94,91.68,51.29,1.527,running
2026-07-01 10:00:00,production_line_b,82.11,96.28,49.5,1.949,running
2026-07-01 10:15:00,production_line_b,86.38,110.26,50.97,1.855,running
2026-07-01 10:30:00,production_line_b,93.5,94.4,51.93,3.227,running
2026-07-01 10:45:00,production_line_b,72.98,84.5,49.5,1.258,running
2026-07-01 11:00:00,production_line_b,91.51,102.79,50.18,1.661,running
2026-07-01 11:15:00,production_line_b,89.33,107.07,52.31,1.755,running
2026-07-01 11:30:00,production_line_b,75.59,119.05,51.49,1.5,running
2026-07-01 11:45:00,production_line_b,74.39,118.62,52.06,2.439,running
2026-07-01 12:00:00,production_line_b,89.23,111.86,51.03,3.13,running
2026-07-01 12:15:00,production_line_b,95.01,103.29,52.11,2.491,running
2026-07-01 12:30:00,production_line_b,86.42,106.79,50.38,1.995,running
2026-07-01 12:45:00,production_line_b,79.59,116.55,53.36,1.528,running
2026-07-01 13:00:00,production_line_b,93.01,102.97,52.24,1.478,running
2026-07-01 13:15:00,production_line_b,96.79,115.7,52.68,2.961,running
2026-07-01 13:30:00,production_line_b,98.54,88.2,49.38,2.671,running
2026-07-01 13:45:00,production_line_b,94.44,114.12,53.59,2.769,running
2026-07-01 14:00:00,production_line_b,90.62,93.79,50.7,1.938,running
2026-07-01 14:15:00,production_line_b,94.6,89.92,50.28,2.244,running
2026-07-01 14:30:00,production_line_b,92.03,80.23,49.22,2.404,running
2026-07-01 14:45:00,production_line_b,92.95,110.46,51.42,0.864,running
2026-07-01 15:00:00,production_line_b,89.13,110.28,52.21,1.673,running
2026-07-01 15:15:00,production_line_b,69.48,86.38,51.05,1.932,running
2026-07-01 15:30:00,production_line_b,63.96,96.63,51.55,2.525,running
2026-07-01 15:45:00,production_line_b,82.13,93.35,49.0,2.929,running
2026-07-01 16:00:00,production_line_b,73.86,87.05,51.07,1.886,running
2026-07-01 16:15:00,production_line_b,73.44,96.88,51.36,1.446,running
2026-07-01 16:30:00,production_line_b,77.39,87.23,51.26,1.287,running
2026-07-01 16:45:00,production_line_b,79.77,84.27,50.92,0.791,running
2026-07-01 17:00:00,production_line_b,67.75,93.71,49.73,1.174,running
2026-07-01 17:15:00,production_line_b,63.51,81.07,50.51,2.281,running
2026-07-01 17:30:00,production_line_b,64.2,87.13,48.84,2.014,running
2026-07-01 17:45:00,production_line_b,72.91,69.79,47.21,0.976,running
2026-07-01 18:00:00,production_line_b,59.98,72.7,47.84,1.646,running
2026-07-01 18:15:00,production_line_b,52.62,78.33,50.42,1.66,running
2026-07-01 18:30:00,production_line_b,49.75,73.41,48.98,0.691,running
2026-07-01 18:45:00,production_line_b,51.79,58.89,46.22,0.944,running
2026-07-01 19:00:00,production_line_b,51.56,74.69,50.16,1.266,running
2026-07-01 19:15:00,production_line_b,46.73,51.77,46.89,1.666,running
2026-07-01 19:30:00,production_line_b,54.86,65.46,46.61,1.337,running
2026-07-01 19:45:00,production_line_b,50.87,63.35,48.5,1.677,running
2026-07-01 20:00:00,production_line_b,41.72,58.21,45.79,0.999,running
2026-07-01 20:15:00,production_line_b,47.39,53.25,48.16,0.539,running
2026-07-01 20:30:00,production_line_b,38.2,56.74,46.27,1.08,running
2026-07-01 20:45:00,production_line_b,50.75,58.48,47.32,1.421,running
2026-07-01 21:00:00,production_line_b,42.58,51.52,48.13,0.638,running
2026-07-01 21:15:00,production_line_b,39.8,47.18,45.97,1.289,running
2026-07-01 21:30:00,production_line_b,35.62,50.0,46.58,1.362,running
2026-07-01 21:45:00,production_line_b,40.22,43.53,44.94,1.217,running
2026-07-01 22:00:00,production_line_b,43.74,51.91,46.18,0.532,running
2026-07-01 22:15:00,production_line_b,30.54,40.88,44.4,0.462,running
2026-07-01 22:30:00,production_line_b,42.48,37.73,45.4,0.732,running
2026-07-01 22:45:00,production_line_b,38.62,42.54,45.52,1.202,running
2026-07-01 23:00:00,production_line_b,33.7,45.7,46.9,0.822,running
2026-07-01 23:15:00,production_line_b,29.89,47.87,46.08,1.274,running
2026-07-01 23:30:00,production_line_b,40.05,44.91,46.64,0.713,running
2026-07-01 23:45:00,production_line_b,35.94,46.83,45.72,0.616,running
